Asset,Company,Country,Region,Sector,Facility_ID,Facility_Name,Facility_Type,Reporting_Year,Month,Emission_Type,Emission_Value_tCO2e,Emission_Method,Emission_Factor_Source,Regulator,Scope_1_tCO2e,Scope_2_tCO2e,Scope_3_tCO2e,Energy_Consumed_kWh,Flaring_Volume_Mscf,Methane_tons,Production_Volume,Production_Unit,Industry_Code,Data_Quality,Data_Type,Dataset_Version,Source,Latitude,Longitude,Facility_Status,Notes,Total_Emissions
Gas Plant 125,Epsilon Resources,Canada,North America,Oil & Gas,FAC-125,Riverview Onshore Gas Plant 125,Onshore Gas Plant,2018,7,Total_GHG,2026.135,Direct Measurement,EU EMEP/EEA,US EPA,948.15,72.172,1005.813,182118.55,467.593,30.566,1459.44,MWh,211120,High,Synthetic,v1.0,Generated,53.0398,-60.4656,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2026.135
Compressor 126,Gamma Mining Corp,India,Asia-Pacific,Oil & Gas,FAC-126,Silverline Compressor Station 126,Compressor Station,2024,2,Total_GHG,2246.39,Hybrid,IPCC 2019,EU ETS,1015.244,107.954,1123.192,225434.6,411.328,32.191,1745.61,MMscf,211120,High,Synthetic,v1.0,Generated,9.4166,75.6614,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,2246.39
Polymer Plant 127,Nexus Petrochem,South Africa,Africa,Petrochemicals,FAC-127,Westfield Polymer Plant 127,Polymer Plant,2018,3,Total_GHG,1268.552,Hybrid,EPA AP-42,US EPA,493.859,82.494,692.199,229337.28,442.43,10.257,4297.37,MWh,325110,Medium,Synthetic,v1.0,Generated,-25.7612,30.8994,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,1268.552
Processing Plant 128,Terra Minerals,South Africa,Africa,Mining,FAC-128,Highland Processing Plant 128,Processing Plant,2023,1,Total_GHG,1274.877,Emission Factor,IEA 2023,National Authority,511.154,128.803,634.92,270350.3,17.434,13.107,7732.2,tons/day,212299,Medium,Synthetic,v1.0,Generated,-27.8857,29.2177,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1274.877
Processing Plant 129,Vertex LNG,Canada,North America,Mining,FAC-129,Highland Processing Plant 129,Processing Plant,2019,1,Total_GHG,998.435,Hybrid,IEA 2023,Local Authority,467.871,111.961,418.603,336029.64,120.562,10.151,9588.17,MWh,212299,High,Synthetic,v1.0,Generated,43.4506,-134.0571,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,998.435
Offshore Platform 130,Terra Minerals,Saudi Arabia,Middle East,Oil & Gas,FAC-130,Oakridge Offshore Platform 130,Offshore Platform,2023,11,Total_GHG,1476.219,Direct Measurement,EPA AP-42,EU ETS,520.469,35.082,920.668,103620.85,793.995,16.563,874.44,MWh,211120,High,Synthetic,v1.0,Generated,21.861,43.5144,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,1476.219
Cracker Unit 131,Gamma Mining Corp,India,Asia-Pacific,Petrochemicals,FAC-131,Silverline Cracker Unit 131,Cracker Unit,2020,3,Total_GHG,1035.688,Hybrid,IPCC 2019,National Authority,481.109,74.831,479.748,185309.72,143.417,11.77,3219.29,MWh,325110,High,Synthetic,v1.0,Generated,27.0603,78.4601,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,1035.688
Processing Plant 132,Orion Upstream,Norway,Europe,Mining,FAC-132,Sunset Processing Plant 132,Processing Plant,2023,12,Total_GHG,1007.116,Direct Measurement,EU EMEP/EEA,EU ETS,438.826,75.351,492.939,219034.58,112.772,11.07,6886.09,tons/day,212299,High,Synthetic,v1.0,Generated,61.3165,7.6755,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,1007.116
Aromatics Unit 133,Epsilon Resources,Canada,North America,Petrochemicals,FAC-133,Oakridge Aromatics Unit 133,Aromatics Unit,2018,3,Total_GHG,1160.056,Direct Measurement,EPA AP-42,EU ETS,462.621,76.165,621.27,204541.72,109.714,10.741,3409.32,tons/day,325110,High,Synthetic,v1.0,Generated,58.4315,-129.4927,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,1160.056
Polymer Plant 134,Vertex LNG,Saudi Arabia,Middle East,Petrochemicals,FAC-134,Lakeside Polymer Plant 134,Polymer Plant,2023,9,Total_GHG,1444.893,Emission Factor,IPCC 2019,National Authority,760.661,137.014,547.218,317931.37,1056.203,16.541,6214.91,tons/day,325110,Medium,Synthetic,v1.0,Generated,24.8754,41.4004,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,1444.893
Offshore Platform 135,Terra Minerals,UK,Europe,Oil & Gas,FAC-135,Riverview Offshore Platform 135,Offshore Platform,2023,5,Total_GHG,1262.198,Direct Measurement,EU EMEP/EEA,US EPA,618.204,34.497,609.497,103414.19,471.498,20.38,798.35,kbbl/day-eq,211120,Medium,Synthetic,v1.0,Generated,53.3585,1.6119,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1262.198
Polymer Plant 136,Delta Petroleum,UAE,Middle East,Petrochemicals,FAC-136,Cedar Polymer Plant 136,Polymer Plant,2023,12,Total_GHG,1818.658,Emission Factor,EPA AP-42,National Authority,906.684,124.082,787.892,359797.31,215.607,20.734,6854.39,MWh,325110,High,Synthetic,v1.0,Generated,23.044,52.575,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1818.658
Compressor 137,Epsilon Resources,India,Asia-Pacific,Oil & Gas,FAC-137,Riverview Compressor Station 137,Compressor Station,2024,11,Total_GHG,1418.116,Hybrid,IPCC 2019,Local Authority,576.3,40.798,801.018,113416.25,132.266,18.513,909.33,MWh,211120,High,Synthetic,v1.0,Generated,13.3002,70.3983,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1418.116
Compressor 138,Vertex LNG,Australia,Asia-Pacific,Oil & Gas,FAC-138,Pioneer Compressor Station 138,Compressor Station,2018,3,Total_GHG,2892.819,Hybrid,EPA AP-42,US EPA,1019.818,50.582,1822.419,120191.79,856.478,34.73,939.52,kbbl/day-eq,211120,High,Synthetic,v1.0,Generated,-17.2904,124.4944,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,2892.819
Blending Station 139,Gamma Mining Corp,Canada,North America,Petrochemicals,FAC-139,Granite Blending Station 139,Blending Station,2018,1,Total_GHG,1548.919,Direct Measurement,IEA 2023,Local Authority,714.732,158.978,675.209,370308.08,946.411,13.02,7211.75,tons/day,325110,High,Synthetic,v1.0,Generated,67.4371,-67.0167,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,1548.919
Gathering Hub 140,Sequoia Refining,South Africa,Africa,Oil & Gas,FAC-140,Cedar Gathering Hub 140,Gathering Hub,2022,8,Total_GHG,2596.038,Direct Measurement,EU EMEP/EEA,Local Authority,972.806,40.828,1582.404,85226.98,357.023,33.626,727.24,MMscf,211120,High,Synthetic,v1.0,Generated,-31.0506,22.4266,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,2596.038
Concentrator 141,Nexus Petrochem,UAE,Middle East,Mining,FAC-141,Lakeside Concentrator 141,Concentrator,2018,5,Total_GHG,1211.106,Hybrid,IPCC 2019,EU ETS,672.035,104.357,434.714,245489.86,117.629,19.58,6972.95,MWh,212299,Medium,Synthetic,v1.0,Generated,22.7193,52.5944,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1211.106
Concentrator 142,Gamma Mining Corp,Norway,Europe,Mining,FAC-142,Silverline Concentrator 142,Concentrator,2023,6,Total_GHG,1173.283,Emission Factor,EPA AP-42,EU ETS,408.285,213.737,551.261,470920.45,92.167,5.504,12928.79,tons/day,212299,High,Synthetic,v1.0,Generated,61.0752,13.2681,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1173.283
Gathering Hub 143,Delta Petroleum,USA,North America,Oil & Gas,FAC-143,Sunset Gathering Hub 143,Gathering Hub,2019,3,Total_GHG,1018.383,Hybrid,EPA AP-42,US EPA,307.469,45.632,665.282,97764.34,623.582,9.093,751.74,kbbl/day-eq,211120,High,Synthetic,v1.0,Generated,37.6348,-123.9604,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,1018.383
Mine 144,Orion Upstream,UAE,Middle East,Mining,FAC-144,Silverline Open-Pit Mine 144,Open-Pit Mine,2021,11,Total_GHG,1454.254,Direct Measurement,EU EMEP/EEA,Local Authority,713.928,115.477,624.849,324631.6,199.673,18.952,9921.68,MWh,212299,Medium,Synthetic,v1.0,Generated,23.2904,55.8793,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1454.254
Refinery 145,Sequoia Refining,Qatar,Middle East,Oil & Gas,FAC-145,Sunset Refinery 145,Refinery,2018,3,Total_GHG,1648.772,Direct Measurement,IPCC 2019,Local Authority,465.163,54.081,1129.528,151030.88,882.69,13.181,1333.0,MWh,211120,High,Synthetic,v1.0,Generated,25.7015,51.5417,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,1648.772
Refinery 146,Orion Upstream,UAE,Middle East,Oil & Gas,FAC-146,Northshore Refinery 146,Refinery,2021,8,Total_GHG,2728.613,Hybrid,IEA 2023,EU ETS,824.854,81.761,1821.998,206092.22,846.163,25.635,1594.78,kbbl/day-eq,211120,High,Synthetic,v1.0,Generated,25.1481,54.6021,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2728.613
Gas Plant 147,Alpha Energy,Saudi Arabia,Middle East,Oil & Gas,FAC-147,Granite Onshore Gas Plant 147,Onshore Gas Plant,2019,7,Total_GHG,1554.8,Hybrid,IEA 2023,National Authority,806.813,36.633,711.354,92220.44,635.258,27.423,761.34,kbbl/day-eq,211120,High,Synthetic,v1.0,Generated,19.9169,35.5709,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1554.8
Offshore Platform 148,Nexus Petrochem,Australia,Asia-Pacific,Oil & Gas,FAC-148,Highland Offshore Platform 148,Offshore Platform,2023,5,Total_GHG,1005.157,Hybrid,EU EMEP/EEA,EU ETS,420.715,33.62,550.822,86555.9,520.302,13.136,792.7,kbbl/day-eq,211120,High,Synthetic,v1.0,Generated,-17.8372,142.739,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1005.157
Aromatics Unit 149,Beta Oilfield Services,India,Asia-Pacific,Petrochemicals,FAC-149,Cedar Aromatics Unit 149,Aromatics Unit,2021,8,Total_GHG,2024.447,Emission Factor,EPA AP-42,EU ETS,956.117,130.37,937.96,333151.9,729.002,23.025,6596.74,MWh,325110,Medium,Synthetic,v1.0,Generated,24.8754,74.1671,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2024.447
Refinery 150,Beta Oilfield Services,Saudi Arabia,Middle East,Oil & Gas,FAC-150,Sunset Refinery 150,Refinery,2019,9,Total_GHG,2781.085,Direct Measurement,EU EMEP/EEA,US EPA,1064.714,62.707,1653.664,136004.81,511.615,36.01,1065.52,MMscf,211120,Medium,Synthetic,v1.0,Generated,28.1227,40.2098,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2781.085
Polymer Plant 151,Beta Oilfield Services,India,Asia-Pacific,Petrochemicals,FAC-151,Lakeside Polymer Plant 151,Polymer Plant,2024,4,Total_GHG,1743.816,Hybrid,IPCC 2019,US EPA,813.689,94.667,835.46,227998.08,608.633,21.593,4527.18,MWh,325110,High,Synthetic,v1.0,Generated,11.4576,87.6874,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,1743.816
Concentrator 152,Terra Minerals,India,Asia-Pacific,Mining,FAC-152,Silverline Concentrator 152,Concentrator,2022,10,Total_GHG,912.095,Direct Measurement,EPA AP-42,Local Authority,527.774,95.505,288.816,284212.53,26.695,12.931,8802.52,MWh,212299,Medium,Synthetic,v1.0,Generated,26.3432,68.2473,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,912.095
Blending Station 153,Sequoia Refining,South Africa,Africa,Petrochemicals,FAC-153,Cedar Blending Station 153,Blending Station,2019,10,Total_GHG,1508.419,Direct Measurement,EPA AP-42,Local Authority,501.384,102.701,904.334,219758.45,766.117,10.342,4401.63,MWh,325110,High,Synthetic,v1.0,Generated,-28.3234,20.583,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,1508.419
Cracker Unit 154,Delta Petroleum,Norway,Europe,Petrochemicals,FAC-154,Granite Cracker Unit 154,Cracker Unit,2020,12,Total_GHG,2234.911,Hybrid,IEA 2023,US EPA,801.948,121.181,1311.782,264153.97,316.631,20.067,5122.51,tons/day,325110,High,Synthetic,v1.0,Generated,61.9062,24.3368,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2234.911
Gathering Hub 155,Sequoia Refining,USA,North America,Oil & Gas,FAC-155,Lakeside Gathering Hub 155,Gathering Hub,2024,1,Total_GHG,2122.387,Hybrid,IPCC 2019,EU ETS,637.682,48.663,1436.042,126888.52,463.344,20.027,1161.84,MMscf,211120,High,Synthetic,v1.0,Generated,29.1697,-73.2395,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2122.387
Compressor 156,Sequoia Refining,Australia,Asia-Pacific,Oil & Gas,FAC-156,Highland Compressor Station 156,Compressor Station,2023,12,Total_GHG,3219.548,Emission Factor,EU EMEP/EEA,US EPA,1129.574,41.693,2048.281,98428.72,209.972,39.06,839.28,kbbl/day-eq,211120,Medium,Synthetic,v1.0,Generated,-25.655,121.2135,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,3219.548
Cracker Unit 157,Vertex LNG,Norway,Europe,Petrochemicals,FAC-157,Northshore Cracker Unit 157,Cracker Unit,2019,5,Total_GHG,2280.525,Emission Factor,EU EMEP/EEA,US EPA,1066.639,187.631,1026.255,476900.28,1173.132,23.926,8317.04,MWh,325110,High,Synthetic,v1.0,Generated,66.4158,20.6297,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2280.525
Concentrator 158,Epsilon Resources,Canada,North America,Mining,FAC-158,Highland Concentrator 158,Concentrator,2023,6,Total_GHG,733.312,Hybrid,EU EMEP/EEA,Local Authority,377.989,133.363,221.96,372056.88,202.256,6.317,10308.33,MWh,212299,Medium,Synthetic,v1.0,Generated,56.0069,-110.407,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,733.312
Blending Station 159,Epsilon Resources,UAE,Middle East,Petrochemicals,FAC-159,Silverline Blending Station 159,Blending Station,2018,10,Total_GHG,1555.006,Emission Factor,IEA 2023,EU ETS,693.185,100.794,761.027,214223.98,618.996,18.093,4021.11,tons/day,325110,High,Synthetic,v1.0,Generated,25.6276,53.023,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1555.006
Aromatics Unit 160,Terra Minerals,Norway,Europe,Petrochemicals,FAC-160,Oakridge Aromatics Unit 160,Aromatics Unit,2018,4,Total_GHG,1401.599,Hybrid,IPCC 2019,National Authority,745.762,101.803,554.034,300439.77,971.517,17.214,5550.83,MWh,325110,Medium,Synthetic,v1.0,Generated,70.31,28.3894,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1401.599
Blending Station 161,Terra Minerals,UAE,Middle East,Petrochemicals,FAC-161,Riverview Blending Station 161,Blending Station,2019,4,Total_GHG,879.677,Direct Measurement,IPCC 2019,National Authority,370.116,89.626,419.935,187555.24,602.333,6.857,3672.12,MWh,325110,High,Synthetic,v1.0,Generated,23.6524,55.3542,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,879.6769999999999
Gathering Hub 162,Gamma Mining Corp,India,Asia-Pacific,Oil & Gas,FAC-162,Riverview Gathering Hub 162,Gathering Hub,2022,7,Total_GHG,2763.367,Hybrid,IEA 2023,US EPA,820.444,85.932,1856.991,182054.94,734.379,25.637,1538.97,MMscf,211120,Medium,Synthetic,v1.0,Generated,23.7042,83.595,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,2763.367
Offshore Platform 163,Orion Upstream,UAE,Middle East,Oil & Gas,FAC-163,Sunset Offshore Platform 163,Offshore Platform,2020,3,Total_GHG,2933.704,Emission Factor,EU EMEP/EEA,Local Authority,848.13,70.472,2015.102,152512.59,500.922,27.286,1324.39,kbbl/day-eq,211120,Medium,Synthetic,v1.0,Generated,22.5157,52.9178,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,2933.704
Mine 164,Delta Petroleum,UK,Europe,Mining,FAC-164,Silverline Open-Pit Mine 164,Open-Pit Mine,2018,10,Total_GHG,1012.366,Direct Measurement,IPCC 2019,US EPA,618.177,90.191,303.998,222388.53,77.077,17.927,6528.14,tons/day,212299,High,Synthetic,v1.0,Generated,55.8174,-6.6879,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,1012.366
Smelter 165,Beta Oilfield Services,Australia,Asia-Pacific,Mining,FAC-165,Lakeside Smelter 165,Smelter,2023,11,Total_GHG,1409.678,Hybrid,IPCC 2019,Local Authority,584.184,142.764,682.73,368887.76,21.716,13.603,10709.13,MWh,212299,High,Synthetic,v1.0,Generated,-27.6925,141.671,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1409.678
Gathering Hub 166,Delta Petroleum,UAE,Middle East,Oil & Gas,FAC-166,Granite Gathering Hub 166,Gathering Hub,2023,7,Total_GHG,1522.787,Direct Measurement,EU EMEP/EEA,EU ETS,743.56,47.661,731.566,147996.08,1165.257,23.744,1221.54,kbbl/day-eq,211120,Low,Synthetic,v1.0,Generated,25.326,55.8656,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,1522.787
Refinery 167,Epsilon Resources,UK,Europe,Oil & Gas,FAC-167,Highland Refinery 167,Refinery,2021,1,Total_GHG,2912.346,Direct Measurement,IPCC 2019,EU ETS,919.409,54.052,1938.885,159659.69,1043.257,30.161,1237.87,kbbl/day-eq,211120,Medium,Synthetic,v1.0,Generated,53.654,1.7729,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2912.346
Smelter 168,Sequoia Refining,UAE,Middle East,Mining,FAC-168,Granite Smelter 168,Smelter,2019,2,Total_GHG,1298.673,Hybrid,IPCC 2019,EU ETS,700.243,184.512,413.918,412312.86,101.901,16.668,12343.65,MWh,212299,High,Synthetic,v1.0,Generated,25.5139,51.4648,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,1298.673
Smelter 169,Gamma Mining Corp,South Africa,Africa,Mining,FAC-169,Northshore Smelter 169,Smelter,2024,11,Total_GHG,826.919,Hybrid,IEA 2023,Local Authority,459.113,128.431,239.375,302334.85,91.175,10.506,8667.47,tons/day,212299,Medium,Synthetic,v1.0,Generated,-29.443,23.379,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,826.919
Cracker Unit 170,Nexus Petrochem,UK,Europe,Petrochemicals,FAC-170,Oakridge Cracker Unit 170,Cracker Unit,2021,3,Total_GHG,1694.137,Emission Factor,IEA 2023,Local Authority,639.608,80.863,973.666,233395.46,886.008,14.87,4702.89,tons/day,325110,Low,Synthetic,v1.0,Generated,53.8554,-1.3629,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1694.137
Gathering Hub 171,Nexus Petrochem,Qatar,Middle East,Oil & Gas,FAC-171,Pioneer Gathering Hub 171,Gathering Hub,2024,10,Total_GHG,2336.639,Direct Measurement,IPCC 2019,Local Authority,862.567,43.113,1430.959,111699.65,194.487,28.945,940.79,MMscf,211120,Medium,Synthetic,v1.0,Generated,25.6342,50.1577,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2336.639
Blending Station 172,Orion Upstream,Saudi Arabia,Middle East,Petrochemicals,FAC-172,Pioneer Blending Station 172,Blending Station,2020,9,Total_GHG,987.054,Hybrid,EPA AP-42,Local Authority,421.877,82.974,482.203,259008.43,381.776,7.213,4513.66,MWh,325110,Medium,Synthetic,v1.0,Generated,28.3797,46.2488,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,987.054
Compressor 173,Gamma Mining Corp,Qatar,Middle East,Oil & Gas,FAC-173,Lakeside Compressor Station 173,Compressor Station,2018,7,Total_GHG,3360.307,Emission Factor,EU EMEP/EEA,EU ETS,1112.267,54.1,2193.94,130609.17,201.98,37.824,1043.18,kbbl/day-eq,211120,Low,Synthetic,v1.0,Generated,24.2139,51.2217,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,3360.307
Cracker Unit 174,Terra Minerals,Qatar,Middle East,Petrochemicals,FAC-174,Eagle Cracker Unit 174,Cracker Unit,2024,3,Total_GHG,1780.262,Hybrid,IEA 2023,Local Authority,761.857,135.153,883.252,337326.84,247.052,17.232,5862.94,tons/day,325110,High,Synthetic,v1.0,Generated,25.6776,50.9659,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1780.262
Smelter 175,Gamma Mining Corp,Norway,Europe,Mining,FAC-175,Silverline Smelter 175,Smelter,2022,5,Total_GHG,808.744,Hybrid,IEA 2023,EU ETS,372.85,130.358,305.536,355689.99,187.251,6.539,9749.44,MWh,212299,Medium,Synthetic,v1.0,Generated,63.3657,23.2004,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,808.744
Mine 176,Orion Upstream,Australia,Asia-Pacific,Mining,FAC-176,Oakridge Open-Pit Mine 176,Open-Pit Mine,2023,7,Total_GHG,677.414,Emission Factor,IEA 2023,Local Authority,342.282,130.125,205.007,396129.92,80.237,4.846,10523.52,MWh,212299,Medium,Synthetic,v1.0,Generated,-22.9122,136.6843,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,677.414
Gas Plant 177,Delta Petroleum,Australia,Asia-Pacific,Oil & Gas,FAC-177,Westfield Onshore Gas Plant 177,Onshore Gas Plant,2022,11,Total_GHG,2957.986,Emission Factor,EU EMEP/EEA,National Authority,1022.642,60.754,1874.59,165984.01,756.432,33.717,1319.24,kbbl/day-eq,211120,Low,Synthetic,v1.0,Generated,-32.3216,145.933,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2957.986
Mine 178,Alpha Energy,UAE,Middle East,Mining,FAC-178,Pioneer Open-Pit Mine 178,Open-Pit Mine,2024,4,Total_GHG,1345.768,Hybrid,IPCC 2019,EU ETS,712.406,180.928,452.434,492901.15,149.513,16.339,13399.24,MWh,212299,Low,Synthetic,v1.0,Generated,22.8123,55.3442,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1345.768
Compressor 179,Alpha Energy,Qatar,Middle East,Oil & Gas,FAC-179,Riverview Compressor Station 179,Compressor Station,2022,5,Total_GHG,1661.384,Hybrid,EPA AP-42,National Authority,571.287,52.859,1037.238,112663.07,200.713,18.353,901.07,MMscf,211120,Medium,Synthetic,v1.0,Generated,24.5582,50.5285,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,1661.384
Gas Plant 180,Terra Minerals,UK,Europe,Oil & Gas,FAC-180,Eagle Onshore Gas Plant 180,Onshore Gas Plant,2019,7,Total_GHG,2286.821,Hybrid,EU EMEP/EEA,US EPA,707.09,94.258,1485.473,265550.74,679.336,18.909,2409.57,MMscf,211120,High,Synthetic,v1.0,Generated,57.6559,-2.7939,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2286.821
Gathering Hub 181,Sequoia Refining,UK,Europe,Oil & Gas,FAC-181,Granite Gathering Hub 181,Gathering Hub,2021,2,Total_GHG,2643.488,Emission Factor,IEA 2023,Local Authority,997.875,67.392,1578.221,167892.73,164.24,32.748,1339.12,MWh,211120,Medium,Synthetic,v1.0,Generated,57.6712,-1.1745,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,2643.488
Gathering Hub 182,Terra Minerals,USA,North America,Oil & Gas,FAC-182,Oakridge Gathering Hub 182,Gathering Hub,2024,4,Total_GHG,3336.625,Direct Measurement,IEA 2023,US EPA,1078.194,55.38,2203.051,142133.15,337.154,36.375,1109.93,MMscf,211120,High,Synthetic,v1.0,Generated,40.0464,-111.7747,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,3336.625
Refinery 183,Alpha Energy,Norway,Europe,Oil & Gas,FAC-183,Sunset Refinery 183,Refinery,2024,4,Total_GHG,1031.17,Hybrid,IPCC 2019,US EPA,331.333,50.866,648.971,125416.75,703.731,9.037,1069.08,MMscf,211120,Medium,Synthetic,v1.0,Generated,68.3248,19.5102,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,1031.17
Cracker Unit 184,Epsilon Resources,UAE,Middle East,Petrochemicals,FAC-184,Pioneer Cracker Unit 184,Cracker Unit,2021,7,Total_GHG,2110.16,Direct Measurement,EPA AP-42,Local Authority,682.326,141.912,1285.922,348406.95,685.089,13.38,6367.8,tons/day,325110,Low,Synthetic,v1.0,Generated,24.4263,52.4076,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2110.16
Polymer Plant 185,Beta Oilfield Services,USA,North America,Petrochemicals,FAC-185,Eagle Polymer Plant 185,Polymer Plant,2022,2,Total_GHG,986.042,Direct Measurement,IEA 2023,US EPA,437.614,94.593,453.835,225919.96,853.818,8.076,4358.94,MWh,325110,Medium,Synthetic,v1.0,Generated,25.1207,-89.394,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,986.0419999999999
Blending Station 186,Terra Minerals,Canada,North America,Petrochemicals,FAC-186,Westfield Blending Station 186,Blending Station,2019,12,Total_GHG,1499.628,Emission Factor,EPA AP-42,EU ETS,603.257,115.692,780.679,329643.83,822.78,10.837,6169.81,MWh,325110,Medium,Synthetic,v1.0,Generated,50.8476,-134.0721,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1499.628
Smelter 187,Gamma Mining Corp,USA,North America,Mining,FAC-187,Silverline Smelter 187,Smelter,2023,11,Total_GHG,1000.016,Direct Measurement,IPCC 2019,Local Authority,472.708,105.001,422.307,284651.21,138.353,10.927,8774.66,MWh,212299,Medium,Synthetic,v1.0,Generated,32.5172,-78.4317,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1000.016
Polymer Plant 188,Epsilon Resources,Canada,North America,Petrochemicals,FAC-188,Eagle Polymer Plant 188,Polymer Plant,2023,1,Total_GHG,1558.043,Direct Measurement,EPA AP-42,National Authority,561.164,130.099,866.78,320165.51,292.179,10.477,5523.79,MWh,325110,High,Synthetic,v1.0,Generated,62.6405,-61.4947,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1558.043
Aromatics Unit 189,Gamma Mining Corp,India,Asia-Pacific,Petrochemicals,FAC-189,Granite Aromatics Unit 189,Aromatics Unit,2022,1,Total_GHG,1356.977,Hybrid,EU EMEP/EEA,Local Authority,662.58,114.523,579.874,249205.39,181.774,16.438,4309.33,tons/day,325110,High,Synthetic,v1.0,Generated,18.0225,69.8111,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,1356.977
Refinery 190,Epsilon Resources,Saudi Arabia,Middle East,Oil & Gas,FAC-190,Eagle Refinery 190,Refinery,2024,6,Total_GHG,907.782,Hybrid,EPA AP-42,EU ETS,373.145,42.717,491.92,101376.82,109.849,11.41,784.91,MMscf,211120,High,Synthetic,v1.0,Generated,19.5103,44.0288,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,907.7819999999999
Cracker Unit 191,Terra Minerals,UAE,Middle East,Petrochemicals,FAC-191,Eagle Cracker Unit 191,Cracker Unit,2021,6,Total_GHG,1274.76,Hybrid,EPA AP-42,EU ETS,664.319,95.784,514.657,276435.4,549.315,15.16,5039.34,MWh,325110,High,Synthetic,v1.0,Generated,23.5053,55.5362,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1274.76
Cracker Unit 192,Delta Petroleum,Qatar,Middle East,Petrochemicals,FAC-192,Pioneer Cracker Unit 192,Cracker Unit,2023,8,Total_GHG,1353.891,Hybrid,IEA 2023,US EPA,522.077,118.775,713.039,347745.54,547.506,7.904,6141.76,tons/day,325110,High,Synthetic,v1.0,Generated,25.6223,51.4405,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,1353.891
